# Bang gia Rise Media (Pinnexa Rise Media) - nap 2026-07-24.
# Nguon: Google Sheet cong khai (gviz export). Gia = THANH TIEN (da chiet khau) x 1.1 (yeu cau Hieu).
# Cot: nha_cung_cap|dich_vu|dau_bao|nhom|vi_tri|gia_vnd|so_link|quy_cach|ghi_chu|nguon_url
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Doanh nghiệp viết - tổn tại 6 tháng|6600000|2-3 link||Gia goc niem yet NCC: 10.000.000 d - CK 34.0% - gia von sau CK: 6.600.000 d - Bài PR dưới 1000 từ, dưới 3 ảnh; 2-3 link Kèm tối đa 3 ảnh minh họa, yêu cầu ảnh không thiết kế, không logo, không bắn chữ Title 13-14 từ|https://vnexpress.net/
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Doanh nghiệp viết - tổn tại 2 năm|9900000|||Gia goc niem yet NCC: 15.000.000 d - CK 34.0% - gia von sau CK: 9.900.000 d|https://vnexpress.net/
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Doanh nghiệp viết - không giới hạn thời hạn|13200000|||Gia goc niem yet NCC: 20.000.000 d - CK 34.0% - gia von sau CK: 13.200.000 d|https://vnexpress.net/
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Tiểu mục (du lịch, số hoá, ý kiến, tâm sự, xe)|6600000|||Gia goc niem yet NCC: 10.000.000 d - CK 34.0% - gia von sau CK: 6.600.000 d|https://vnexpress.net/
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Tiểu mục (giáo dục, khoa học)|7920000|||Gia goc niem yet NCC: 12.000.000 d - CK 34.0% - gia von sau CK: 7.920.000 d|https://vnexpress.net/
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Thông tin doanh nghiệp|9900000|||Gia goc niem yet NCC: 15.000.000 d - CK 34.0% - gia von sau CK: 9.900.000 d|https://vnexpress.net/
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Tiểu mục (thể thao, giải trí, sức khoẻ, đời sống)|9900000|||Gia goc niem yet NCC: 15.000.000 d - CK 34.0% - gia von sau CK: 9.900.000 d|https://vnexpress.net/
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Top 3,4,5 chuyên mục trên trang chủ Bất động sản|26400000|||Gia goc niem yet NCC: 40.000.000 d - CK 34.0% - gia von sau CK: 26.400.000 d|https://vnexpress.net/
Rise Media|booking-pr|Vnexpress|PR bao dien tu|Top 3,4,5 chuyên mục trên trang chủ kinh doanh|33000000|||Gia goc niem yet NCC: 50.000.000 d - CK 34.0% - gia von sau CK: 33.000.000 d|https://vnexpress.net/
Rise Media|booking-pr|Ngoisao.net|PR bao dien tu|Mục phù hợp|4620000|2 link||Gia goc niem yet NCC: 7.000.000 d - CK 34.0% - gia von sau CK: 4.620.000 d - 1000 chữ, 3 ảnh sạch (ảnh không thiết kế, không bắn text logo lên ảnh, k ghép), đc 2 link|https://ngoisao.vnexpress.net/
Rise Media|booking-pr|Ngoisao.net|PR bao dien tu|Trang chủ|7920000|||Gia goc niem yet NCC: 12.000.000 d - CK 34.0% - gia von sau CK: 7.920.000 d|https://ngoisao.vnexpress.net/
Rise Media|booking-pr|Dân trí (Giá mới 2026)|PR bao dien tu|Tiểu mục nhóm 2: Nội vụ, Du lịch, Giáo dục, Lao động - Việc làm, Pháp luật, Tình yêu giới tính, Khoa học|7670000|0 free||Gia goc niem yet NCC: 13.000.000 d - CK 41.0% - gia von sau CK: 7.670.000 d - Bài PR dưới 1000 từ, 6 ảnh Tiêu đề của bài không quá 11 từ, sapo không quá 45 từ 0 free link -Thêm link: 500K/1link|https://dantri.com.vn/
