# Bang gia Rise Media (Pinnexa Rise Media) - nap 2026-07-24.
# Nguon: Google Sheet cong khai (gviz export). Gia = THANH TIEN (da chiet khau) x 1.1 (yeu cau Hieu).
# Cot: nha_cung_cap|dich_vu|dau_bao|nhom|vi_tri|gia_vnd|so_link|quy_cach|ghi_chu|nguon_url
Rise Media|booking-pr|Dân trí (Giá mới 2026)|PR bao dien tu|Tiểu mục nhóm 1: Kinh doanh, Thời sự, Sức khỏe, Bất động sản, Thể thao, Giải trí, Thế giới, Ô tô - Xe máy, Công nghệ, Đời sống|8850000|||Gia goc niem yet NCC: 15.000.000 d - CK 41.0% - gia von sau CK: 8.850.000 d|https://dantri.com.vn/
Rise Media|booking-pr|Dân trí (Giá mới 2026)|PR bao dien tu|Link 6,7,8,9 Chuyên mục nhóm 2|8850000|||Gia goc niem yet NCC: 15.000.000 d - CK 41.0% - gia von sau CK: 8.850.000 d|https://dantri.com.vn/
Rise Media|booking-pr|Dân trí (Giá mới 2026)|PR bao dien tu|Link 7,8,9 Chuyên mục nhóm 1|11800000|||Gia goc niem yet NCC: 20.000.000 d - CK 41.0% - gia von sau CK: 11.800.000 d|https://dantri.com.vn/
Rise Media|booking-pr|Dân trí (Giá mới 2026)|PR bao dien tu|Link 3,4,5 Nhóm 2|11800000|||Gia goc niem yet NCC: 20.000.000 d - CK 41.0% - gia von sau CK: 11.800.000 d|https://dantri.com.vn/
Rise Media|booking-pr|Dân trí (Giá mới 2026)|PR bao dien tu|Link 5,6 Nhóm 1|17700000|||Gia goc niem yet NCC: 30.000.000 d - CK 41.0% - gia von sau CK: 17.700.000 d|https://dantri.com.vn/
Rise Media|booking-pr|Dân trí (Giá mới 2026)|PR bao dien tu|Link 3,4 Nhóm 1|20650000|||Gia goc niem yet NCC: 35.000.000 d - CK 41.0% - gia von sau CK: 20.650.000 d|https://dantri.com.vn/
Rise Media|booking-pr|CafeF.vn (Giá mới 2026)|PR bao dien tu|Bài loại 9 -Thông cáo báo chí|4680000|1 link||Gia goc niem yet NCC: 6.000.000 d - CK 22.0% - gia von sau CK: 4.680.000 d - Bài PR dưới 1000 từ, tối đa 5 ảnh Tiêu đề của bài không quá 11 từ, sapo không quá 45 từ Thêm link: 500K/1link|https://cafef.vn/
Rise Media|booking-pr|CafeF.vn (Giá mới 2026)|PR bao dien tu|Bài loại 8 - Tin doanh nghiệp|5850000|||Gia goc niem yet NCC: 7.500.000 d - CK 22.0% - gia von sau CK: 5.850.000 d|https://cafef.vn/
Rise Media|booking-pr|CafeF.vn (Giá mới 2026)|PR bao dien tu|Bài loại 7 Chuyên mục|7800000|||Gia goc niem yet NCC: 10.000.000 d - CK 22.0% - gia von sau CK: 7.800.000 d|https://cafef.vn/
Rise Media|booking-pr|CafeF.vn (Giá mới 2026)|PR bao dien tu|Bài loại 6 - Bài số 2, 3 Chuyên mục|9360000|||Gia goc niem yet NCC: 12.000.000 d - CK 22.0% - gia von sau CK: 9.360.000 d|https://cafef.vn/
Rise Media|booking-pr|CafeF.vn (Giá mới 2026)|PR bao dien tu|Bài loại 5 nổi bật chuyên mục|11700000|||Gia goc niem yet NCC: 15.000.000 d - CK 22.0% - gia von sau CK: 11.700.000 d|https://cafef.vn/
Rise Media|booking-pr|CafeBiz.vn (Giá mới 2026)|PR bao dien tu|Loại 4 Chuyên mục|3900000|1 link||Gia goc niem yet NCC: 5.000.000 d - CK 22.0% - gia von sau CK: 3.900.000 d - 1000 chữ, 5 ảnh, đc 1 link (mua thêm 500k)|https://cafebiz.vn/
Rise Media|booking-pr|CafeBiz.vn (Giá mới 2026)|PR bao dien tu|Trang chủ loại 3|6240000|||Gia goc niem yet NCC: 8.000.000 d - CK 22.0% - gia von sau CK: 6.240.000 d|https://cafebiz.vn/
Rise Media|booking-pr|CafeBiz.vn (Giá mới 2026)|PR bao dien tu|Trang chủ loạ̣i 2|8580000|||Gia goc niem yet NCC: 11.000.000 d - CK 22.0% - gia von sau CK: 8.580.000 d|https://cafebiz.vn/
Rise Media|booking-pr|Afamily (Giá mới 2026)|PR bao dien tu|Bài loại 5 Chuyên mục / Loại 4 XAC|3120000|1 link link đuôi.vn||Gia goc niem yet NCC: 4.000.000 d - CK 22.0% - gia von sau CK: 3.120.000 d - Độ dài tất cả các tin bài không quá 1000 từ và 5 ảnh minh họa (trừ bài phóng sự ảnh, bài tương đương 1 trang A4) Thêm link: 500K/1link|https://afamily.vn/
Rise Media|booking-pr|Afamily (Giá mới 2026)|PR bao dien tu|Bài loại 3 Box Chuyên mục / Stream 2|5460000|||Gia goc niem yet NCC: 7.000.000 d - CK 22.0% - gia von sau CK: 5.460.000 d|https://afamily.vn/
Rise Media|booking-pr|Afamily (Giá mới 2026)|PR bao dien tu|Bài loại 2 nổi bật mục|9360000|||Gia goc niem yet NCC: 12.000.000 d - CK 22.0% - gia von sau CK: 9.360.000 d|https://afamily.vn/
Rise Media|booking-pr|Kenh 14|PR bao dien tu|Bài loại 5 Tiểu mục (Sao Việt (Star); Phim Việt, phim Âu Mỹ, phim Châu Á (Cine), tiểu mục của Musik; Tiểu mục Du học, 46 News (Học Đường), 2tek vui (2tek)|3900000|1 link link đuôi.vn||Gia goc niem yet NCC: 5.000.000 d - CK 22.0% - gia von sau CK: 3.900.000 d - 1000 chữ, 5 ảnh, đc 1 link (mua thêm 500k)|https://kenh14.vn/
Rise Media|booking-pr|Kenh 14|PR bao dien tu|Bài loại 4 Xem ăn chơi|6240000|||Gia goc niem yet NCC: 8.000.000 d - CK 22.0% - gia von sau CK: 6.240.000 d|https://kenh14.vn/
Rise Media|booking-pr|Kenh 14|PR bao dien tu|Bài Loại 3 STREAM 3 PC|7800000|||Gia goc niem yet NCC: 10.000.000 d - CK 22.0% - gia von sau CK: 7.800.000 d|https://kenh14.vn/
Rise Media|booking-pr|Kenh 14|PR bao dien tu|Bài loại 2 HOME MOBILE STREAM 2|11700000|||Gia goc niem yet NCC: 15.000.000 d - CK 22.0% - gia von sau CK: 11.700.000 d|https://kenh14.vn/
Rise Media|booking-pr|Soha|PR bao dien tu|Chuyên mục|3900000|1 link link đuôi.vn||Gia goc niem yet NCC: 5.000.000 d - CK 22.0% - gia von sau CK: 3.900.000 d - Bài PR dưới 1000 từ, tối đa 5 ảnh Tiêu đề dài khong quá 90 ký tự, sapp không quá 180 ký tự; Thêm link: 500K/1link|https://soha.vn/
Rise Media|booking-pr|Soha|PR bao dien tu|Trang chủ streaming 3|5460000|||Gia goc niem yet NCC: 7.000.000 d - CK 22.0% - gia von sau CK: 5.460.000 d|https://soha.vn/
Rise Media|booking-pr|GenK.vn|PR bao dien tu|Chuyên mục|3900000|1 link||Gia goc niem yet NCC: 5.000.000 d - CK 22.0% - gia von sau CK: 3.900.000 d - Bài PR dưới 1000 từ, 5 ảnh (trừ bài phóng sự ảnh, bài tương đương 1 trang A4); Tiêu đề không quá 11 từ, sapo không quá 45 tử) Thêm link: 500K/1link|https://genk.vn/
Rise Media|booking-pr|GenK.vn|PR bao dien tu|Trang chủ stream 2|6240000|||Gia goc niem yet NCC: 8.000.000 d - CK 22.0% - gia von sau CK: 6.240.000 d|https://genk.vn/
Rise Media|booking-pr|Autopro.com.vn (Giá mới 2026)|PR bao dien tu|Bài loại 4 chuyên mục|4680000|1 link||Gia goc niem yet NCC: 6.000.000 d - CK 22.0% - gia von sau CK: 4.680.000 d - Bài PR dưới 1000 từ, tối đa 5 ảnh Tiêu đề không quá 11 từ, sapo không quá 45 từ Thêm link: 500K/1link|https://autopro.com.vn/
Rise Media|booking-pr|Autopro.com.vn (Giá mới 2026)|PR bao dien tu|Bài loại 3 trang chủ|7800000|||Gia goc niem yet NCC: 10.000.000 d - CK 22.0% - gia von sau CK: 7.800.000 d|https://autopro.com.vn/
Rise Media|booking-pr|Autopro.com.vn (Giá mới 2026)|PR bao dien tu|Bài loại 2 trang chủ|11700000|||Gia goc niem yet NCC: 15.000.000 d - CK 22.0% - gia von sau CK: 11.700.000 d|https://autopro.com.vn/
Rise Media|booking-pr|GameK|PR bao dien tu|Trang chủ|7800000|1 link||Gia goc niem yet NCC: 10.000.000 d - CK 22.0% - gia von sau CK: 7.800.000 d - Bài PR dưới 1000 từ, 5 ảnh Thêm link: 300K/1link|https://gamek.vn/
Rise Media|booking-pr|GameK|PR bao dien tu|Mục phù hợp|4680000|||Gia goc niem yet NCC: 6.000.000 d - CK 22.0% - gia von sau CK: 4.680.000 d|https://gamek.vn/
Rise Media|booking-pr|VTV (Giá mới 2026)|PR bao dien tu|Loại 7 Chuyên mục|4860000|0 free||Gia goc niem yet NCC: 6.000.000 d - CK 19.0% - gia von sau CK: 4.860.000 d - Bài PR dưới 1000 từ, tối đa 5 ảnh (trừ bài phóng sự ảnh), bài tương đương 1 trang A4, Tiêu đề, sapo (tóm tắt tin): Tiêu đề của bài không quá 11 từ, sapo không quá 40 từ Thêm link: 3tr/1link|https://vtv.vn/
Rise Media|booking-pr|VTV (Giá mới 2026)|PR bao dien tu|Loại 6 nổi bật chuyên mục|9720000|||Gia goc niem yet NCC: 12.000.000 d - CK 19.0% - gia von sau CK: 9.720.000 d|https://vtv.vn/
Rise Media|booking-pr|Tuổi trẻ (Giá mới 2026)|PR bao dien tu|Trang chuyên mục Cần biết|4690000|không chèn link||Gia goc niem yet NCC: 7.000.000 d - CK 33.0% - gia von sau CK: 4.690.000 d - Bài 1000 chữ, 5 ảnh, không gắn link (tùy link bbt có thể cho để link tĩnh, hoặc phải xóa)|https://tuoitre.vn/
Rise Media|booking-pr|Tuổi trẻ (Giá mới 2026)|PR bao dien tu|Hiển thị trang chủ|7800000|||Gia goc niem yet NCC: 10.000.000 d - CK 22.0% - gia von sau CK: 7.800.000 d|https://tuoitre.vn/
Rise Media|booking-pr|Tuổi trẻ (Giá mới 2026)|PR bao dien tu|Trang chuyên mục Nhóm 3: Trang cấp 2 của các chuyên mục Nhóm 1 và 2, Việc làm, Tuổi Trẻ Cười, Giả - Thật|11700000|||Gia goc niem yet NCC: 15.000.000 d - CK 22.0% - gia von sau CK: 11.700.000 d|https://tuoitre.vn/
Rise Media|booking-pr|Tuổi trẻ (Giá mới 2026)|PR bao dien tu|Trang chuyên mục Nhóm 2: Video, Xe, Du lịch, Văn hóa, Giải trí, Nhịp sống trẻ, Bạn đọc, Doanh nghiệp, Khoa học|15600000|||Gia goc niem yet NCC: 20.000.000 d - CK 22.0% - gia von sau CK: 15.600.000 d|https://tuoitre.vn/
Rise Media|booking-pr|Thanh niên (Giá mới 2026)|PR bao dien tu|PR Cần biết - Tin ngắn|3200000|2 link, tin ngắn free 1 link||Gia goc niem yet NCC: 4.000.000 d - CK 20.0% - gia von sau CK: 3.200.000 d - 300 chữ + 1 ảnh + 1link - thêm chữ: 8k/1 chữ Thêm link: 500K/1link|https://thanhnien.vn/
Rise Media|booking-pr|Thanh niên (Giá mới 2026)|PR bao dien tu|Tin chuyên mục con Nhóm 2: Giáo dục, Du lịch, Giải trí, Giới trẻ, Văn hóa.|4000000|||Gia goc niem yet NCC: 5.000.000 d - CK 20.0% - gia von sau CK: 4.000.000 d - Bài PR dưới 1000 từ, tối đa 5 ảnh, 2 link Title không quá 17 chữ, sapo không quá 48 chữ, Bài/Tin PR để chữ: "Nguồn:,,,", "Thông tin dịch vụ", "Thông tin doanh nghiệp Thêm link: 500K/1link|https://thanhnien.vn/
Rise Media|booking-pr|Thanh niên (Giá mới 2026)|PR bao dien tu|Tin chuyên mục con Nhóm 1: Kinh tế, Tiêu dùng, Công nghệ-Game, Đời sống, Sức khỏe, Thể thao, Emagazine, Xe.|4800000|||Gia goc niem yet NCC: 6.000.000 d - CK 20.0% - gia von sau CK: 4.800.000 d|https://thanhnien.vn/
Rise Media|booking-pr|Thanh niên (Giá mới 2026)|PR bao dien tu|Chuyên mục con nhóm 1|12000000|||Gia goc niem yet NCC: 15.000.000 d - CK 20.0% - gia von sau CK: 12.000.000 d|https://thanhnien.vn/
Rise Media|booking-pr|24h.com.vn|PR bao dien tu|PR loại 2 nhóm 2 (giáo dục, giải trí, thời trang đời sống, xe….)|3350000|3 link, pr cá nhân 1 link||Gia goc niem yet NCC: 5.000.000 d - CK 33.0% - gia von sau CK: 3.350.000 d - Bài PR dưới 1000 từ, dưới 5 ảnh Thêm link: 1tr/1link|https://www.24h.com.vn/
Rise Media|booking-pr|24h.com.vn|PR bao dien tu|PR loại 2 nhóm 1 (kinh doanh, TTTD,…)|4020000|||Gia goc niem yet NCC: 6.000.000 d - CK 33.0% - gia von sau CK: 4.020.000 d|https://www.24h.com.vn/
Rise Media|booking-pr|Tiền phong|PR bao dien tu|Trang chuyên mục (xã hội, kinh tế, giải trí, sức khoẻ…)|3900000|1 link đuôi.vn||Gia goc niem yet NCC: 6.000.000 d - CK 35.0% - gia von sau CK: 3.900.000 d - Bài PR dưới 1000 từ, dưới 3 ảnh Thêm link: 2tr/1link|https://tienphong.vn/
Rise Media|booking-pr|Tiền phong|PR bao dien tu|Top 2,3,4 trên trang chủ (thể thao, giáo dục, sức khoẻ...)|6500000|||Gia goc niem yet NCC: 10.000.000 d - CK 35.0% - gia von sau CK: 6.500.000 d|https://tienphong.vn/
Rise Media|booking-pr|Tiền phong|PR bao dien tu|Top 1 trang chủ (giáo dục, giải trí, thể thao….)|7800000|||Gia goc niem yet NCC: 12.000.000 d - CK 35.0% - gia von sau CK: 7.800.000 d|https://tienphong.vn/
Rise Media|booking-pr|Vtcnews (Giá mới 2026)|PR bao dien tu|Từ top 6 trở xuống Chuyên mục nhóm 1 (Thời sự; Kinh tế)|2850000|1 link||Gia goc niem yet NCC: 5.000.000 d - CK 43.0% - gia von sau CK: 2.850.000 d - 1000 chữ, 3 ảnh, đc 1 link web (có thể yêu cầu.vn) mua thêm link 500k/ 1 link|https://vtc.vn/
Rise Media|booking-pr|Vtcnews (Giá mới 2026)|PR bao dien tu|Từ Top 4 trở xuống - Chuyên mục nhóm 2 (Các chuyên mục còn lại (trừ chuyên mục Doanh nghiệp - Doanh nhân; Trẻ).|2850000|||Gia goc niem yet NCC: 5.000.000 d - CK 43.0% - gia von sau CK: 2.850.000 d|https://vtc.vn/
Rise Media|booking-pr|Vtcnews (Giá mới 2026)|PR bao dien tu|Chuyên mục Doanh nghiệp - Doanh nhân; Trẻ|2850000|||Gia goc niem yet NCC: 5.000.000 d - CK 43.0% - gia von sau CK: 2.850.000 d|https://vtc.vn/
Rise Media|booking-pr|Vtcnews (Giá mới 2026)|PR bao dien tu|Top 2-3 chuyên mục nhóm 2|4560000|||Gia goc niem yet NCC: 8.000.000 d - CK 43.0% - gia von sau CK: 4.560.000 d|https://vtc.vn/
Rise Media|booking-pr|Vtcnews (Giá mới 2026)|PR bao dien tu|Top 2-5 chuyên mục nhóm 1|8550000|||Gia goc niem yet NCC: 15.000.000 d - CK 43.0% - gia von sau CK: 8.550.000 d|https://vtc.vn/
Rise Media|booking-pr|Zingnews|PR bao dien tu|Mục Thông tin doanh nghiệp/Tiểu mục|6900000|1-2 link||Gia goc niem yet NCC: 10.000.000 d - CK 31.0% - gia von sau CK: 6.900.000 d - quy định chữ như znew 1000 chữ 5 ảnh, 2 link, bài chỉ tồn tại 6 tháng|https://znews.vn/
Rise Media|booking-pr|Báo Mới|PR bao dien tu|Tiểu mục phù hợp|5520000|||Gia goc niem yet NCC: 8.000.000 d - CK 31.0% - gia von sau CK: 5.520.000 d - quy định chữ như znew 1000 chữ 5 ảnh, 2 link, bài chỉ tồn tại 6 tháng|https://baomoi.com/
Rise Media|booking-pr|Vietnamnet (Giá mới 2026)|PR bao dien tu|Tiểu mục từ Top 6 trở xuống|4140000|0 link||Gia goc niem yet NCC: 6.000.000 d - CK 31.0% - gia von sau CK: 4.140.000 d - Bài PR dưới 1000 từ, tối đa 5 ảnh, tiêu đề không quá 12 chữ 5tr/link, chỉ chèn trong 3 tháng mất link|https://vietnamnet.vn/
Rise Media|booking-pr|Vietnamnet (Giá mới 2026)|PR bao dien tu|Top 2-5 Tiểu mục|5520000|||Gia goc niem yet NCC: 8.000.000 d - CK 31.0% - gia von sau CK: 5.520.000 d|https://vietnamnet.vn/
Rise Media|booking-pr|Vietnamnet (Giá mới 2026)|PR bao dien tu|Top 1 Tiểu mục|6900000|||Gia goc niem yet NCC: 10.000.000 d - CK 31.0% - gia von sau CK: 6.900.000 d|https://vietnamnet.vn/
Rise Media|booking-pr|Vietnamnet (Giá mới 2026)|PR bao dien tu|Top 9 trở xuống|8280000|||Gia goc niem yet NCC: 12.000.000 d - CK 31.0% - gia von sau CK: 8.280.000 d|https://vietnamnet.vn/
Rise Media|booking-pr|Vietnambiz|PR bao dien tu|Chuyên mục|1860000|0 free link||Gia goc niem yet NCC: 3.000.000 d - CK 38.0% - gia von sau CK: 1.860.000 d - Bài PR dưới 1000 từ, 5 ảnh Thêm link: 500k/link|https://vietnambiz.vn/
Rise Media|booking-pr|Vietnambiz|PR bao dien tu|Chuyên mục có title ở trang chủ|3100000|||Gia goc niem yet NCC: 5.000.000 d - CK 38.0% - gia von sau CK: 3.100.000 d|https://vietnambiz.vn/
Rise Media|booking-pr|Vietnambiz|PR bao dien tu|Nổi bật chuyên mục có title ở trang chủ|6200000|||Gia goc niem yet NCC: 10.000.000 d - CK 38.0% - gia von sau CK: 6.200.000 d|https://vietnambiz.vn/
Rise Media|booking-pr|Vietnammoi|PR bao dien tu|Chuyên mục cần biết|1860000|0 free link||Gia goc niem yet NCC: 3.000.000 d - CK 38.0% - gia von sau CK: 1.860.000 d - Bài PR dưới 1000 từ, 5 ảnh Thêm link: 500k/link|https://vietnammoi.vn/
Rise Media|booking-pr|Vietnammoi|PR bao dien tu|Chuyên mục|3100000|||Gia goc niem yet NCC: 5.000.000 d - CK 38.0% - gia von sau CK: 3.100.000 d|https://vietnammoi.vn/
Rise Media|booking-pr|Vietnammoi|PR bao dien tu|Tiêu điểm chuyên mục|4340000|||Gia goc niem yet NCC: 7.000.000 d - CK 38.0% - gia von sau CK: 4.340.000 d|https://vietnammoi.vn/
Rise Media|booking-pr|Lao động|PR bao dien tu|Thông tin doanh nghiệp|5250000|0 free link||Gia goc niem yet NCC: 7.000.000 d - CK 25.0% - gia von sau CK: 5.250.000 d - Bài PR dưới 800 từ, 3 ảnh Để link mất phí 3tr/1 link No|https://laodong.vn/
Rise Media|booking-pr|Tinnhanhchungkhoan.vn (Giá mới 2026)|PR bao dien tu|Loại 6 - Thông báo - Bố cáo|3200000|||Gia goc niem yet NCC: 5.000.000 d - CK 36.0% - gia von sau CK: 3.200.000 d - Bài PR dưới 900 từ, 2 ảnh|https://www.tinnhanhchungkhoan.vn/
Rise Media|booking-pr|Tinnhanhchungkhoan.vn (Giá mới 2026)|PR bao dien tu|Loại 5 - Bài hiển thị trang chủ, mục chuyển động doanh nghiệp|3200000|||Gia goc niem yet NCC: 5.000.000 d - CK 36.0% - gia von sau CK: 3.200.000 d|https://www.tinnhanhchungkhoan.vn/
Rise Media|booking-pr|Tinnhanhchungkhoan.vn (Giá mới 2026)|PR bao dien tu|Loại 4 - Bài hiển thị trang chủ, vị trí tiêu điểm 1 chuyên mục (2h)|5760000|||Gia goc niem yet NCC: 9.000.000 d - CK 36.0% - gia von sau CK: 5.760.000 d|https://www.tinnhanhchungkhoan.vn/
Rise Media|booking-pr|Baodautu.vn (Giá mới 2026)|PR bao dien tu|TT doanh nghiệp|3100000|không chèn link||Gia goc niem yet NCC: 5.000.000 d - CK 38.0% - gia von sau CK: 3.100.000 d - 1000 chữ 3 ảnh, 1 triệu/link|https://baodautu.vn/
Rise Media|booking-pr|Baodautu.vn (Giá mới 2026)|PR bao dien tu|Bài thường Chuyên mục|4960000|||Gia goc niem yet NCC: 8.000.000 d - CK 38.0% - gia von sau CK: 4.960.000 d|https://baodautu.vn/
Rise Media|booking-pr|Baodautu.vn (Giá mới 2026)|PR bao dien tu|Bài chính chuyên mục|6820000|||Gia goc niem yet NCC: 11.000.000 d - CK 38.0% - gia von sau CK: 6.820.000 d|https://baodautu.vn/
Rise Media|booking-pr|VIR.com.vn|PR bao dien tu|Bài chuyên mục|4410000|||Gia goc niem yet NCC: 7.000.000 d - CK 37.0% - gia von sau CK: 4.410.000 d - Dưới 1000 từ, 5 ảnh, không gắn link Thêm link: 3tr3/link|https://vir.com.vn/
Rise Media|booking-pr|VIR.com.vn|PR bao dien tu|Bài chính chuyên mục|6300000|||Gia goc niem yet NCC: 10.000.000 d - CK 37.0% - gia von sau CK: 6.300.000 d|https://vir.com.vn/
Rise Media|booking-pr|Batdongsan|PR bao dien tu|Hiển thị trang chủ|18750000|2 link||Gia goc niem yet NCC: 25.000.000 d - CK 25.0% - gia von sau CK: 18.750.000 d - 1000 chữ, 5 ảnh, đc 1-2 link|https://batdongsan.com.vn/
Rise Media|booking-pr|Vietstock|PR bao dien tu|Bạn cần biết|1700000|2 link||Gia goc niem yet NCC: 1.700.000 d - CK 0.0% - gia von sau CK: 1.700.000 d - Bài PR dưới 1000 từ, tối đa 3 ảnh Thêm link: 500k/link|https://vietstock.vn/
Rise Media|booking-pr|Vietstock|PR bao dien tu|Tin chính 2 Chứng khoán/ Doanh nghiệp/ BĐS/ Tài chính (giờ thường)|7650000|||Gia goc niem yet NCC: 9.000.000 d - CK 15.0% - gia von sau CK: 7.650.000 d|https://vietstock.vn/
Rise Media|booking-pr|Vietstock|PR bao dien tu|Tin chính 2 chuyên mục khác|3825000|||Gia goc niem yet NCC: 4.500.000 d - CK 15.0% - gia von sau CK: 3.825.000 d|https://vietstock.vn/
Rise Media|booking-pr|Vietstock|PR bao dien tu|Tin chính chuyên mục khác|5950000|||Gia goc niem yet NCC: 7.000.000 d - CK 15.0% - gia von sau CK: 5.950.000 d|https://vietstock.vn/
Rise Media|booking-pr|Cafeland (Giá mới 2026)|PR bao dien tu|Tin ngắn/Sự kiện|4300000|||Gia goc niem yet NCC: 5.000.000 d - CK 14.0% - gia von sau CK: 4.300.000 d - Bài PR 400 chữ, 1 ảnh|https://cafeland.vn/
Rise Media|booking-pr|Cafeland (Giá mới 2026)|PR bao dien tu|PR Trang chủ Tiêu chuẩn|10320000|1 link||Gia goc niem yet NCC: 12.000.000 d - CK 14.0% - gia von sau CK: 10.320.000 d - Bài PR dưới 800 từ, 2 ảnh|https://cafeland.vn/
Rise Media|booking-pr|Cafeland (Giá mới 2026)|PR bao dien tu|PR Trang chủ Nổi bật|15480000|1 link||Gia goc niem yet NCC: 18.000.000 d - CK 14.0% - gia von sau CK: 15.480.000 d - Bài PR 1000 chữ, 3 ảnh|https://cafeland.vn/
Rise Media|booking-pr|Nhipcaudautu|PR bao dien tu|Tin ngắn 300 chữ|3350000|1 link||Gia goc niem yet NCC: 5.000.000 d - CK 33.0% - gia von sau CK: 3.350.000 d - Bài PR dưới 1000 từ, 3 ảnh, Tiêu đề không quá 10-13 từ, Sapo tối đa 32 từ,|https://nhipcaudautu.vn/
Rise Media|booking-pr|Nhipcaudautu|PR bao dien tu|Chuyên mục|8040000|||Gia goc niem yet NCC: 12.000.000 d - CK 33.0% - gia von sau CK: 8.040.000 d|https://nhipcaudautu.vn/
Rise Media|booking-pr|2Sao|PR bao dien tu|Top 12 trang chuyên mục trở xuống|1875000|0 free link||Gia goc niem yet NCC: 2.500.000 d - CK 25.0% - gia von sau CK: 1.875.000 d - Bài PR dưới 1000 từ, 5 ảnh Thêm link: 6tr/link|https://2sao.vn//
Rise Media|booking-pr|2Sao|PR bao dien tu|Top 6-11 trang chuyên mục|2250000|||Gia goc niem yet NCC: 3.000.000 d - CK 25.0% - gia von sau CK: 2.250.000 d|https://2sao.vn//
Rise Media|booking-pr|2Sao|PR bao dien tu|Top 1 box chuyên mục tại trang chủ|4500000|||Gia goc niem yet NCC: 6.000.000 d - CK 25.0% - gia von sau CK: 4.500.000 d|https://2sao.vn//
Rise Media|booking-pr|Alobacsi|PR bao dien tu|Mục phù hợp|1600000|1 link||Gia goc niem yet NCC: 2.000.000 d - CK 20.0% - gia von sau CK: 1.600.000 d - Bài PR dưới 1000 từ, 5 ảnh Thêm link: 500k/link|https://alobacsi.com/
